ID,Text
1,"Viral lower respiratory tract infections and preterm infants healthcare utilisation The aim of this study was to determine whether respiratory syncytial virus (RSV) and other viral lower respiratory tract infections (LRTI) in prematurely born infants were associated with similar effects on healthcare utilisation and related cost of care in the second compared to the first year after birth. Thirteen infants who had RSV LRTIs (RSV), 21 who had other viral LRTIs (other viral) and 25 had no viral LRTIs (no LRTI) were prospectively followed. Nasopharyngeal aspirates were collected whenever an infant had an LRTI regardless of whether it was in the hospital or in the community. Healthcare utilisation and the health-related cost of care were determined. Only the RSV group compared to the no LRTI group had higher overall respiratory costs in both year 1 (mean, 3,917 versus 24; p < 0.041) and year 2 (mean, 1,164 versus 61; p = 0.012). Only the RSV group required respiratory admissions; the RSV admission rate in year 2 was 3.4 % (number needed to treat 59). Conclusion: RSV LRTIs are associated with increased healthcare utilisation and cost of care in the first and second year; nevertheless, if prophylaxis is to be cost-effective in the second year, a high risk group needs to be identified. (Drysdale S.B., simon.drysdale@kcl.ac.uk; Alcazar-Paris M., mireia.alcazar@gmail.com; Wilson T., theresa.wilson@childrenscoloradoro.org; Greenough A., anne.greenough@kcl.ac.uk) Division of Asthma, Allergy and Lung Biology, MRC-Asthma UK Centre in Allergic Mechanisms of Asthma, Kings College London, London, United Kingdom. , (Smith M., Melvyn.smith@kcl.ac.uk; Zuckerman M., mark.zuckerman@nhs.net) South London Specialist Virology Centre, Kings College Hospital, London, United Kingdom. , (Peacock J.L., janet.peacock@kcl.ac.uk; Greenough A., anne.greenough@kcl.ac.uk) NIHR Biomedical Research Centre, Guys and St Thomas NHS Foundation Trust and Kings College London, London, United Kingdom. , (Peacock J.L., janet.peacock@kcl.ac.uk) Division of Health and Social Care Research, Kings College London, London, United Kingdom. , (Johnston S.L., s.johnston@imperial.ac.uk) Airway Disease Infection Section, National Heart and Lung Institute, Imperial College London, London, United Kingdom. , (Greenough A., anne.greenough@kcl.ac.uk) Neonatal Intensive Care Centre, Kings College Hospital, Denmark Hill, London, United Kingdom."
2,"Incidence of respiratory syncytial virus related health care utilization in the United States Background: Respiratory Syncytial Virus (RSV) is one of the most frequent causes of acute respiratory infection worldwide. Understanding age-specific health care utilization is necessary to guide effective prevention strategies. This retrospective database analysis assessed the incidence rates of RSV-related health care utilization in the USA over a 7-year period. Methods: Episodes of RSV were identified in the Truven Health MarketScan Commercial Claims and Encounters database between 2008 and 2014 using ICD-9-CM codes for pneumonia, bronchiolitis and RSV (480-486, 487.0, 466.1, 491.2, 079.6). Annual RSV-related health care utilization was calculated for the total population, by age group (<1, 1, 2-4, 5-17, 18-49, 50-64, 65-74, 75-84 and 85 years) and the proportion of cases for each setting (hospitalization, outpatient, or emergency department [ED] / urgent care [UC]). Results: Over the 7-year study period, the mean rate of all RSV-associated health care utilization was 2.4 per 1000 person-years, with mean rates ranging from 2.0 to 2.6). The highest rate was seen in infants aged <1 year (mean 79.0 per 1000 over the 7-year period), which decreased with increasing age in the range 2-49 years before increasing with age in older adults (mean rate 8.1 per 1000 over the 7-year period in those 85 years). Of all RSV cases, 82% were reported in an outpatient setting, 11% in the ED/UC and 7% were hospitalized. Conclusions: The annual RSV-related healthcare utilization rates were substantial, especially in infants and young children. These results underscore the need to accelerate the development of RSV prevention strategies to reduce the healthcare burden of RSV. (Tong S.) IVIDATA Stats, France. , (Amand C.) Sanofi, France. , (Kieffer A.) Sanofi Pasteur, Lyon, France. , (Kyaw M.H.) Sanofi Pasteur, PA, United States."
3,"Long-term assessment of healthcare utilization 5 years after respiratory syncytial virus infection in US infants Background. Respiratory syncytial virus (RSV) is the primary cause of respiratory tract infections in infants; however, current burden estimates report only the short-term effects of acute infection. Methods. Infants with RSV infection and 24 months of continuous enrollment were retrospectively identified from the Truven MarketScan database (1 January 2004-30 September 2015). Exposed infants (n = 38 473) were propensity score matched to nonexposed controls (n = 76 825) by baseline characteristics and gestational age. Five-year cumulative all-cause, asthma/wheezing, and respiratory event-related hospitalization rates and physician and emergency department healthcare-resource utilization rates were assessed. Results. During follow-up, RSV-infected cohorts had higher average all-cause cumulative hospitalization rates, compared with controls, with values of 79.9 hospitalizations/100 patient-years (95% confidence interval [CI], 41.7-118.2) for 213 early premature infants (P <.001), 18.2 hospitalizations/100 patient-years (95% CI,.8-35.7) for 397 premature infants (P =.04), 34.2 hospitalizations/100 patient-years (95% CI, 29.1-39.2) for 4446 late premature infants (P <.001), and 16.1 hospitalizations/100 patient-years (95% CI, 14.9-17.4) for 33 417 full-term infants (P <.001). Cumulative rates of physician and emergency department visits were also higher for RSV-infected infants. Asthma/wheezing accounted for 10%-18% of total 5-year physician visits. Conclusions. Infant RSV infection has a significant long-term healthcare-resource utilization impact across gestational ages for at least 5 years after infection, most of it in the first 2 years. Systematically collecting healthcare-resource utilization data will be important for cost-effectiveness evaluations of RSV interventions in planned or ongoing trials. (Simoes E.A.F., Eric.simoes@ucdenver.edu) Department of Pediatrics, University of Colorado, School of Medicine, Aurora, CO, United States. , (Simoes E.A.F., Eric.simoes@ucdenver.edu) Department of Epidemiology, Center for Global Health, Colorado School of Public Health, Aurora, CO, United States. , (Simoes E.A.F., Eric.simoes@ucdenver.edu) Section of Infectious Disease, Children's Hospital Colorado, Aurora, CO, United States. , (Chirikov V.; Botteman M.; Kwon Y.) Pharmerit International, Bethesda, MD, United States. , (Kuznik A.) Regeneron, Tarrytown, NY, United States."
4,"Health care utilisation of infants with chronic lung disease, related to hospitalisation for RSV infection Aims - To compare the use of health care resources and associated costs between infants with chronic lung disease (CLD) who had or had not an admission with a proven respiratory syncytial virus (RSV) infection. Methods - Review of community care, outpatient attendances, and readmissions in the first two years after birth. Patients: 235 infants (median gestational age 27 weeks) evaluated in four groups: 45 infants with a proven RSV admission (RSV proven); 24 with a probable bronchiolitis admission; 60 with other respiratory admissions; and 106 with non-respiratory or no admissions. Results - The RSV proven compared to the other groups required more frequent and longer admissions to general paediatric wards and intensive care units, more outpatient attendances and GP consultations for respiratory related disorders, and had a higher total cost of care. Conclusion - RSV hospitalisation in patients with CLD is associated with increased health service utilisation and costs in the first two years after birth. (Greenough A.; Cox S.; Alexander J.; Lenney W.; Turnbull F.; Burgess S.; Chetcuti P.A.J.; Shaw N.J.; Woods A.; Boorman J.; Coles S.; Turner J.) Dept. of Child Health, King's College Hospital, London SE5 9RS, United Kingdom."
5,"Health Care Resource Utilization of Late Premature Versus Term Infants With Bronchiolitis It is controversial whether it is cost-beneficial for late preterm infants to receive respiratory syncytial virus prophylaxis. This study compares community and hospital health care resource utilization (HCRU) of late premature infants (33-36 weeks gestational age) with term infants (>36 weeks gestational age) hospitalized with bronchiolitis. This was a retrospective, population-based, observational study spanning a 9-year period (2004-2012). HCRU data were obtained from the Health Maintenance Organization Clalit and included duration of hospitalization, physician visits, laboratory tests, and treatments. Compared with term infants, late preterm infants had significantly longer duration of hospitalization and higher admission rates to pediatric intensive care unit. They also had higher rates of mean outpatients clinic visits, total outpatient clinic and specialist visits, blood chemistry, and virology testing. HCRU of term infants with bronchiolitis was also substantial, indicating that they also can greatly benefit from respiratory syncytial virus prophylaxis. These findings can guide stakeholders in decisions concerning the prevention of bronchiolitis and will be useful in performing further cost-benefit analysis. (Greenberg D., dudi@bgu.ac.il; Shany E.; Ben-Shimol S.; Givon-Lavi N.) Soroka University Medical Center, Beer-Sheva, Israel. , (Greenberg D., dudi@bgu.ac.il; Dagan R.; Shany E.; Ben-Shimol S.; Givon-Lavi N.) Ben-Gurion University of the Negev, Beer-Sheva, Israel."
6,"Rhinovirus infection and healthcare utilisation in prematurely born infants Our aim was to determine whether rhinovirus (RV) lower respiratory tract infections (LRTIs) in prematurely born infants increase health-related cost of care during infancy. 153 infants born at <36 weeks of gestation were prospectively followed to 1 year. Cost of care was calculated from the National Health Service reference costing scheme and healthcare utilisation determined by examining hospital/general practitioner records. 20 infants developed RV LRTIs (RV group), 17 respiratory syncytial virus (RSV) LRTIs (RSV group), 12 both RV and RSV LRTIs (RV/RSV group) and 74 had no LRTI (no LRTI group). Compared with the no LRTI group, the RV/RSV LRTI group had the greatest increase in adjusted mean cost (difference GBP 5769), followed by the RV LRTI group (difference GBP 278) and, finally, the RSV LRTI group (difference GBP 172) (p=0.045). The RV group had more outpatient (p<0.05) and respiratory-related general practitioner (p<0.05) attendances, more wheezed at follow-up (p<0.001) than the no LRTI group and more had respiratory-related outpatient attendances than the RSV LRTI group (p<0.05). We conclude that RV LRTIs were associated with increased health-related cost of care during infancy; our results suggest that the RV group compared with the RSV group suffered greater chronic respiratory morbidity. Copyright ERS 2013. (Drysdale S.B.; Alcazar-Paris M.; Wilson T.; Broughton S.; Rafferty G.F.; Greenough A., anne.greenough@kcl.ac.uk) Division of Asthma, Allergy and Lung Biology, MRC-Asthma UK Centre in Allergic Mechanisms of Asthma, King's College London, London, United Kingdom. , (Smith M.; Zuckerman M.) South London Specialist Virology Centre, King's College Hospital, London, United Kingdom. , (Peacock J.L.) Division of Health and Social Care Research, King's College London, London, United Kingdom. , (Johnston S.L.) Dept of Respiratory Medicine, National Heart and Lung Institute, Imperial College London, London, United Kingdom."
7,"Increased healthcare resource utilization for acute respiratory illness among Latino infants Objective: To examine healthcare resource utilization for acute respiratory illness in Latino infants compared with other racial/ethnic groups. Study design: We studied 674 term-born, previously healthy infants brought in for an unscheduled healthcare visit for an acute respiratory illness. The predictor variable was infant race/ethnicity, and the primary outcome was healthcare resource utilization, adjusted for age and disease severity. Results: The cohort was 14% Latino, 52% white, 22% African American, and 12% other race/ethnicity. More than one-third (37%) of the mothers of Latino infants were Spanish-speaking. The bronchiolitis severity score was higher (indicating more severe disease) in white infants (median, 6.0; IQR, 3.0-9.0 on a scale of 0-12) compared with Latino (median, 3.0; IQR, 1.0-6.0) and African American (median, 3.5; IQR, 1.0-6.0) infants (P <.001 for the comparison of all groups). Disease severity was similar in Latino and African American infants (P =.96). Latino infants were the most likely to receive antibiotics (58%, compared with 47% of whites and 34% of African Americans; P =.005) and to have body fluid cultures drawn. Latino infants also were more likely than African American infants to undergo chest radiography and respiratory virus rapid antigen testing (P .01). Latino infants from Spanish-speaking families had a higher rate of respiratory syncytial virus testing compared with those from English-speaking families (76% vs 51%; P =.016). Conclusion: Providers caring for Latino infants with acute respiratory illness ordered more antibiotics and diagnostic testing for this group, particularly compared with African Americans, even though the 2 groups had similar disease severity and socioeconomic disparities. Language barrier may be a possible explanation for these differences. Copyright  2013 Mosby Inc. All rights reserved. (Valet R.S.; Minton P.A.; Woodward K.B.; Hartert T.V.) Division of Allergy, Pulmonary and Critical Care Medicine, Department of Medicine, Vanderbilt University School of Medicine, Nashville, TN, United States. , (Gebretsadik T.; Liu Z.) Department of Biostatistics, Vanderbilt University School of Medicine, Nashville, TN, United States. , (Carroll K.N.) Department of Pediatrics, Vanderbilt University School of Medicine, Nashville, TN, United States. , (Hayes R.) Informatics Center, Vanderbilt University School of Medicine, Nashville, TN, United States. , (Hartert T.V.) Institute of Medicine and Public Health, Vanderbilt University School of Medicine, Nashville, TN, United States."
8,"RSV hospitalisation and healthcare utilisation in moderately prematurely born infants Respiratory syncytial virus (RSV) infection is associated with chronic respiratory morbidity in infants born very prematurely. Our aims were to determine if infants born moderately prematurely (32-35 weeks of gestation) who had had an RSV hospitalisation, compared to those who had not, had greater healthcare utilisation and related cost of care in the first 2 years. Two thousand and sixty-six eligible infants' records were examined to identify three groups: 20 infants admitted for an RSV lower respiratory tract infection (RSV),30 admitted for another respiratory problem (other respiratory) and 108 admitted for a nonrespiratory problem/never admitted (non-respiratory). Healthcare utilisation was assessed by examining hospital and general practitioner records and cost of care calculated using the National Scheme of Reference costs and the British National Formulary prices. The mean cost of care in the RSV group (12,505) was greater than the non-respiratory (1, 178) (95% CI for difference 5, 015 to 17,639, p0 0.002) and the other respiratory (3,356) groups (95% CI for difference 2,963 to 15,606, p<0.001). The adjusted mean differences in the cost of care were 11, 186 between the RSV and non-respiratory groups (95% CI 4,763 to 17,609) and 9, 076 (95% CI 2,515 to 15,637) between the RSV and the other respiratory groups. Forty-two of 2, 066 eligible infants had an RSV hospitalisation (2%); thus, assuming prophylaxis would reduce the hospitalisation rate by 50%, the number needed to treat was 98. In conclusion, RSV hospitalisation in moderately prematurely born infants is associated with increased health-related cost of care. Nevertheless, if RSV prophylaxis is to be costeffective, a high risk group of moderately prematurely born infants needs to be identified.  2011 Springer-Verlag. (Shefali-Patel D.; Paris M.A.; Watson F.; Greenough A., anne.greenough@kcl.ac.uk) Division of Asthma, Allergy and Lung Biology, MRC Asthma Centre for Allergic Mechanisms of Asthma, King's College London, London, United Kingdom. , (Peacock J.L.) Department of Primary Care and Public Health Sciences, King's College London, London, United Kingdom. , (Campbell M.) Department of Child Health, St Thomas' Hospital, London, United Kingdom."
9,"Healthcare resource use and economic burden attributable to respiratory syncytial virus in the United States: a claims database analysis BACKGROUND: Despite several studies that have estimated the economic impact of Respiratory Syncytial Virus (RSV) in infants, limited data are available on healthcare resource use and costs attributable to RSV across age groups. The aim of this study was to quantify age-specific RSV-related healthcare resource use and costs on the US healthcare system. METHODS: This retrospective case-control study identified patients aged 1 year with an RSV event in the Truven Health Marketscan Commercial Claims and Encounters and Medicare Supplemental and Coordination of Benefits databases between August 31, 2012 and August 1, 2013. RSV patients were matched 1:1 with non-RSV controls for age, gender, region, healthcare plan and index date (n = 11,432 in each group). Stratified analyses for healthcare resource use and costs were conducted by age groups. RSV-attributable resource use and costs were assessed based on the incremental differences between RSV cases and controls using multivariate analysis. RESULTS: RSV patients had a higher healthcare resource use (hospital stays, emergency room/urgent care visits, ambulatory visits and outpatient visits) than non-RSV matched controls for all age groups (all p < 0.0001), particularly in the elderly age groups with RSV (1.9 to 3 days length of stay, 0.4 to 0.5 more ER/UC visits, 0.7 to 2.7 more ambulatory visits, 12.1 to 18.6 more outpatient visits and 9.5 to 14.6 more prescriptions than elderly in the control groups). The incremental difference in adjusted mean annual costs between RSV and non-RSV controls was higher in elderly (65; $12,030 to $23,194) than in those aged < 65 years ($2251 to $5391). Among children, adjusted costs attributable to RSV were higher in children aged 5-17 years ($3192), than those 1-4 years ($2251 to $2521). CONCLUSIONS: Our findings showed a substantial annual RSV-attributable healthcare resource use and costs in the US across age groups, with the highest burden in those aged 65 years. These data can be used in cost-effectiveness analyses, and may be useful for policymakers to guide future RSV vaccination and other prevention programs. (Amand C.) Sanofi, Chilly-Mazarin, France, (Tong S.) Levallois-Perret, France. , (Kieffer A.) Sanofi Pasteur, Lyon, France. , (Kyaw M.H., Moe.Kyaw@sanofi.com) Sanofi Pasteur, Swiftwater, PA, United States."
10,"Health care utilisation of prematurely born, preschool children related to hospitalisation for RSV infection Background: In prematurely born infants with chronic lung disease (CLD), RSV hospitalisation is associated with increased health service utilisation and costs in the first two years after birth. Aims: To determine whether RSV hospitalisation in the first two years was associated with chronic respiratory morbidity during the preschool years in prematurely born children who had had CLD. Methods: Retrospective review of readmissions, outpatient attendances, and community care in years 2-4 and, at age 5 years, assessment of the children's respiratory status and their health related quality of life. Comparison was made of the results of children who had had at least one hospitalisation in the first two years after birth for RSV infection (RSV group) to those of the rest of the cohort. Participants were 190 of an original cohort of 235 infants with CLD and a median gestational age 27 (range 22-33) weeks. Results: The 33 children in the RSV group, compared to the rest of the cohort, had a greater duration of hospital stay and more outpatient appointments. The RSV group had required more prescriptions for all treatments and respiratory medications, and more had used an inhaler. The cost of care of the RSV group was higher (median 2630 [4000, US$4800], range 124-18 091 versus 1360 [2500, US$3000], range 5-18 929) and their health related quality of life was lower. Conclusion: In prematurely born children who had developed CLD, RSV hospitalisation in the first two years was associated with chronic respiratory morbidity and increased cost of care. (Greenough A., anne.greenough@kcl.ac.uk) Dept. of Child Health, King's College Hospital, London SE5 9RS, United Kingdom. , (Greenough A., anne.greenough@kcl.ac.uk; Bytham J.) King's College Hospital, London, United Kingdom. , (Alexander J.; Lenney W.; Melville S.) North Staffordshire Hospital, Stokeon-Trent, United Kingdom. , (Burgess S.; Chetcuti P.A.J.) Leeds General Infirmary, United Kingdom. , (Hagan J.; Shaw N.J.) Liverpool Women's Hospital, United Kingdom. , (Boorman J.; Coles S.) Abbott Laboratories Ltd, Maidenhead, United Kingdom. , (Turner J.) Therapeutic Management, Crowthorne, United Kingdom."
