ID,Text
931,"Respiratory syncytial virus infection in the modern era Purpose of reviewRespiratory syncytial virus (RSV) continues to be a major cause of severe lower respiratory tract infection in infants, young children, and older adults. In this review, changes in the epidemiology of RSV during the coronavirus disease 2019 (COVID-19) pandemic are highlighted together with the role which increased molecular surveillance efforts will have in future in assessing the efficacy of vaccines and therapeutics.Recent findingsThe introduction of nonpharmaceutical intervention (NPIs) strategies during the COVID-19 pandemic between 2020 and 2022 resulted in worldwide disruption to the epidemiology of RSV infections, especially with respect to the timing and peak case rate of annual epidemics. Increased use of whole genome sequencing along with efforts to better standardize the nomenclature of RSV strains and discrimination of RSV genotypes will support increased monitoring of relevant antigenic sites in the viral glycoproteins. Several RSV vaccine candidates based on subunit, viral vectors, nucleic acid, or live attenuated virus strategies have shown efficacy in Phase 2 or 3 clinical trials with vaccines using RSVpreF protein currently the closest to approval and use in high-risk populations. Finally, the recent approval and future use of the extended half-life human monoclonal antibody Nirsevimab will also help to alleviate the morbidity and mortality burden caused by annual epidemics of RSV infections.SummaryThe ongoing expansion and wider coordination of RSV molecular surveillance efforts via whole genome sequencing will be crucial for future monitoring of the efficacy of a new generation of vaccines and therapeutics. (Ludlow M., martin.ludlow@tiho-hannover.de) Research Center for Emerging Infections and Zoonoses, University of Veterinary Medicine Hannover, Hannover, Germany."
336,"Cost determinants among adults hospitalized with respiratory syncytial virus in the United States, 20172019 Background: Respiratory syncytial virus (RSV) infections are common in adults, but data describing the cost of RSV-associated hospitalization are lacking due to inconsistency in diagnostic coding and incomplete case ascertainment. We evaluated costs of RSV-associated hospitalization in adult patients with laboratory-confirmed, community-onset RSV. Methods: We included adults  18 years of age admitted to three hospital systems in New York during two RSV seasons who were RSV-positive by polymerase chain reaction (PCR) and had more than or equal to two acute respiratory infection symptoms or exacerbation of underlying cardiopulmonary disease. We abstracted costs from hospital finance systems or converted hospital charges to cost using cost-charge ratios. We converted cost into 2020 US dollars and extrapolated to the United States. We used a generalized linear model to determine predictors of hospitalization cost, stratified by admission to intensive care units (ICU). Results: Cost data were available for 79% (601/756) of eligible patients. The mean total cost of hospitalization was $8403 (CI(95) $7240$9741). The highest costs were those attributed to ICU services $7885 (CI(95) $5877$10,240), whereas the lowest were radiology $324 (CI(95) $275$376). Other than longer length of stay, predictors of higher cost included having chronic liver disease (odds ratio [OR] 1.38 [CI(95) 1.051.80]) for patients without ICU admission and antibiotic use (OR 1.49 [CI(95) 1.102.03]) for patients with ICU admission. The annual US cost was estimated to be $1.2 (CI(95) 0.91.4) billion. Conclusion: The economic burden of RSV hospitalization of adults  18 years of age in the United States is substantial. RSV vaccine programs may be useful in reducing this economic burden. (Choi Y., yoon.young.choi2@merck.com; Phillips M.; Finelli L., lynn.finelli@merck.com) Center for Observational and Real-World Evidence, Merck & Co., Inc., Kenilworth, NJ, United States. , (Hill-Ricciuti A.; Sieling W.D.; Saiman L.) Department of Pediatrics, Columbia University Irving Medical Center, New York, NY, United States. , (Branche A.R.; Walsh E.E.; Falsey A.R.) Department of Medicine, Division of Infectious Diseases, University of Rochester, Rochester, NY, United States. , (Sieling W.D.) Department of Medicine, University of Minnesota Medical School Duluth Campus, Duluth, MN, United States. , (Saiman L.) Department of Infection Prevention & Control, NewYork-Presbyterian Hospital, New York, NY, United States. , (Walsh E.E.; Falsey A.R.) Rochester General Hospital, Rochester, NY, United States."
483,"The burden of influenza in England by age and clinical risk group: A statistical analysis to inform vaccine policy Objectives: To assess the burden of influenza by age and clinical status and use this to inform evaluations of the age and risk-based influenza vaccination policy in the United Kingdom. Methods: Weekly laboratory reports for influenza and 7 other respiratory pathogens were extracted from the national database and used in a regression model to estimate the proportion of acute respiratory illness outcomes attributable to each pathogen. Results: Influenza accounted for ~10% of the attributed respiratory admissions and deaths in hospital. Healthy children under five had the highest influenza admission rate (1.9/1000). The presence of co-morbidities increased the admission rate by 5.7 fold for 5-14 year olds (from 0.1 to 0.56/1000), the relative risk declining to 1.8 fold in 65+ year olds (from 0.46 to 0.84/1000). The majority (72%) of influenza-attributable deaths in hospital occurred in 65+ year olds with co-morbidities. Mortality in children under 15 years was low with around 12 influenza-attributable deaths in hospital per year in England the case fatality rate was substantially higher in risk than non-risk children. Infants under 6 months had the highest consultation and admission rates, around 70/1000 and 3/1000 respectively. Conclusions: Additional strategies are needed to reduce the remaining morbidity and mortality in the high-risk and elderly populations, and to protect healthy children currently not offered the benefits of vaccination.  2014 The Authors. (Cromer D., d.cromer@unsw.edu.au) Complex Systems in Biology Group, Centre for Vascular Research, University of New South Wales, Sydney, Australia. , (Van Hoek A.J.; Jit M.; Miller E.) Public Health England, London, United Kingdom. , (Jit M.; Edmunds W.J.) Department of Infectious Disease Epidemiology, London School of Hygiene and Tropical Medicine, London, United Kingdom. , (Fleming D.) Research and Surveillance Unit, Royal College of General Practitioners, Birmingham, United Kingdom."
611,"Passive immunoprophylaxis against respiratory syncytial virus in children: Where are we now? Respiratory syncytial virus (RSV) represents the main cause of acute respiratory tract infections in children worldwide and is the leading cause of hospitalization in infants. RSV infection is a self-limiting condition and does not require antibiotics. However hospitalized infants with clinical bronchiolitis often receive antibiotics for fear of bacteria coinfection, especially when chest radiography is performed due to similar radiographic appearance of infiltrate and atelectasis. This may lead to unnecessary antibiotic prescription, additional cost, and increased risk of development of resistance. Despite the considerable burden of RSV bronchiolitis, to date, only symptomatic treatment is available, and there are no commercially available vaccines. The only licensed passive immunoprophylaxis is palivizumab. The high cost of this monoclonal antibody (mAb) has led to limiting its prescription only for high-risk children: infants with chronic lung disease, congenital heart disease, neuromuscular disorders, immunodeficiencies, and extreme preterm birth. Nevertheless, it has been shown that the majority of hospitalized RSV-infected children do not fully meet the criteria for immune prophylaxis. While waiting for an effective vaccine, passive immune prophylaxis in children is mandatory. There are a growing number of RSV passive immunization candidates under development intended for RSV prevention in all infants. In this review, we describe the state-of-the-art of palivizumabs usage and summarize the clinical and preclinical trials regarding the development of mAbs with a better cost-effectiveness ratio. (Rocca A., alessandro.rocca4@unibo.it; Biagi C., carlotta.biagi@aosp.bo.it; Dondi A., arianna.dondi@aosp.bo.it; Pierantoni L., luca.pierantoni@aosp.bo.it; Lanari M., marcello.lanari@unibo.it) Pediatric Emergency Unit, Scientific Institute for Research and Healthcare (IRCCS), SantOrsola Hospital, Bologna, Italy. , (Scarpini S., sara.scarpini2@studio.unibo.it) Specialty School of PaediatricsAlma Mater Studiorum, University of Bologna, Bologna, Italy. , (Vandini S., s.vandini@ausl.imola.bo.it) Pediatrics and Neonatology Unit, Imola Hospital, Imola, Italy."
873,"Infections with respiratory syncytial virus in North Lebanon-prevalence during winter 2008 Between 1 December 2007 and 31 May 2008, we analysed 120 nasopharyngeal swabs for the presence respiratory syncytial virus (RSV) infection in 120 children aged 15 days to 6 years, hospitalized in 2 hospitals in North Lebanon. Of the 120 samples, 32 were positive (26.7%) for RSV. There was a peak in January which progressively disappeared from February to May. Being positive for RSV was significantly associated with the presence of rhinorrhoea and dyspnoea as clinical symptoms and the absence of pneumonia signs on chest X-ray and the diagnosis of bronchitises or bronchiolitis. Testing for RSV is important in cases of respiratory infections in children as it may limit unnecessary prescription of antibiotics. (Hamze M., mhamze@monzerhamze.com; Mallat H.; Lichaa E.; Zahab N.) Universite libanaise, Faculte de Sante publique, Section 3, Tripoli (Liban), France. , (Hlais S.) Chef de clinique au departement de Medecine de Famille, Universite Saint-Joseph, Beyrouth (Liban), France. , (Rachkidi J.) Chef du departement de pediatribe, Hoital Nini, Tripoli (Liban), France."
710,"Respiratory Syncytial Virus in Otherwise Healthy Prematurely Born Infants: A Forgotten Majority Healthy, premature infants 35 weeks' gestational age (wGA) are universally recognized to be at an increased risk of perinatal morbidity and mortality. Serious respiratory syncytial virus (RSV) lower respiratory tract infection imposes an additional burden of illness on these infants following hospitalization. Incurred morbidities relative to term infants include longer lengths of hospital stay, admission to intensive care, and need for oxygen and mechanical ventilation, all of which are associated with increased hospital costs. The highest morbidities are experienced by premature infants who are youngest (<3 months' chronological age) and are of lower gestational age. Short- and long-term follow-up indicates that healthy preterm infants both of lower gestational age and who are late preterm have obstructive lung function at baseline, which is further compromised by RSV-related infection during infancy. There is increasing evidence that childhood exposure to an episode of RSV infection may set the stage for an abnormal respiratory function trajectory, which, in adulthood, leads to chronic obstructive pulmonary disease. Healthy premature infants <32 wGA merit RSV prophylaxis based on existing data, whereas moderate- and high-risk preterm infants 32 to 35 wGA should be selectively and cost-effectively targeted for prophylaxis using validated risk scoring tools and country-specific thresholds for funding. (Paes B., paes@mcmaster.ca) Department of Pediatrics, McMaster University, HSC-3A, 1280 Main Street West, Hamilton, ON, Canada."
600,"Decreased lung function precedes severe respiratory syncytial virus infection and post-respiratory syncytial virus wheeze in term infants It is unknown why respiratory syncytial virus (RSV) causes mild disease in some children and severe disease, requiring hospitalisation, in others. We aimed to assess whether diminished premorbid lung function in healthy term infants predisposes to hospitalisation during RSV bronchiolitis, and to post-RSV wheeze. In a prospective birth cohort study of unselected term healthy children, neonatal lung function was measured before the age of 2 months (n=2133). From birth through the first year of life, respiratory symptoms were recorded in a diary, and general practitioner consultations and hospitalisations were documented. In a subgroup (n=417) repeated nose and throat swabs were collected for PCR to detect RSV infections. Median neonatal respiratory system compliance (Crs) was significantly lower (41.2 versus 47.4 mLkPa<sup>-1</sup>, p=0.03) and resistance (R rs) was higher (8.2 versus 6.3 kPas L<sup>-1</sup>, p=0.10) in hospitalised RSV patients (n=18) compared with nonhospitalised RSV-positive infants (n=84). Every 10 mLkPa<sup>-1</sup> increase in Crs was associated with 55% less post-RSV wheeze (OR 0.56, 95% CI 0.35-0.90), and each kPasL<sup>-1</sup> increase in Rrs was associated with 42% more post-RSV wheeze, which was only marginally explained by pre-RSV wheeze or severity of the RSV disease. This unselected birth cohort study shows for the first time that decreased lung function at birth predisposes to severe RSV disease, and to post-RSV wheeze. Copyright ERS 2014. (Zomer-Kooijker K., k.zomer-kooijker@umcutrecht.nl; Van Der Gugten A.C.; Van Der Ent C.K.) Wilhelmina Children's Hospital, University Medical Centre Utrecht, Dept of Paediatric Pulmonology and Allergology, PO Box 85090, 3508 AB Utrecht, Netherlands. , (Uiterwaal C.S.P.M.) Julius Centre for Health Sciences and Primary Care, University Medical Centre Utrecht, Utrecht Netherlands, Netherlands. , (Wilbrink B.) Laboratory of Infectious Diseases and Perinatal Screening, National Institute of Public Health and the Environment (RIVM), Bilthoven, Netherlands. , (Bont L.J.) Dept of Paediatric Immunology and Infectious Diseases, Wilhelmina Children's Hospital, University Medical Centre Utrecht, Utrecht, Netherlands."
137,"The cost-effectiveness of palivizumab in the prevention of respiratory syncytial virus bronchiolitis: A systematic review Background: The cost-effectiveness of palivizumab is subject of vigorous debate. It is recognized that a policy of using palivizumab for all children who meet the licensed indication is not cost-effective, but most clinicians feel that its use is justified in certain subgroups. Objective: To systematically review the literature on the cost-effectiveness of palivizumab prophylaxis in the following subgroups: 1) preterm infants born before 32 weeks gestational age (WGA), 2) preterm infants born between 32 and 35 WGA, 3) children with chronic lung disease, and 4) children with congenital heart disease. Methods: We searched Pubmed, EMBASE and the latest versions of the DARE, NHS EED and HTA databases from inception to February 2010 using the terms cost, cost-effectiveness, respiratory syncytial virus and palivizumab. Results: Seventeen studies evaluating the cost-effectiveness of palivizumab were included. The cost-effectiveness of palivizumab for the subgroups of children born before 32 WGA, children born between 32 and 35 WGA, children with chronic lung disease (CLD), and children with congenital heart disease was studied in 8, 9, 8, and 6 studies, respectively. The incremental cost-effectiveness ratios varied considerably both within and between subgroups. Sensitivity analyses showed that cost-effectiveness was mainly driven by the mortality rate due to RSV infection. Differences in hospitalization rates, industry sponsoring and study year were also associated with differences in cost-effectiveness, but these differences could be attributed to differences in mortality rates. Conclusion: The cost-effectiveness of prophylactic treatment of RSV infection with palivizumab in subgroups varies considerably, and is certainly not always below the threshold. The cost-effectiveness is mainly sensitive to mortality rates of RSV infection. This systematic review indicates that future research should focus on the major uncertainties in costeffectiveness, particularly RSV-related mortality rate.  2011 Bentham Science Publishers Ltd. (Blanken M., m.o.blanken-2@umcutrecht.nl; Bont L.) University Medical Center Utrecht, Department of Pediatrics, P.O. Box 85090, 3584 EA Utrecht, Netherlands. , (Rovers M.) University Medical Center Utrecht, Julius Center for Health Sciences and Primary Care, Str. 6.131, P.O. Box 85060, 3508 GA Utrecht, Netherlands."
603,"Analytical performances of the BD VeritorTM System for the detection of respiratory syncytial virus and influenzaviruses A and B when used at bedside in the pediatric emergency department This study aims to evaluate the analytical performance of the BD VeritorTM rapid diagnostic assays (RDTs) for respiratory syncytial virus (RSV) and influenzaviruses when performed 24/7 at bedside by nurses in the pediatric emergency department (PED). The study was performed between 14/10/2015 and 19/03/2016 on nasopharyngeal aspirates (NPAs) collected from children consulting at the PED of the University Hospital of Saint-Etienne for bronchiolitis (RSV detection) or flu-like syndrome (influenzaviruses A/B detection). NPAs were tested 24/7 at the PED with the RDT and then sent to the Infectious Agents Department for routine analyses, first by immunofluorescence assay (IFA), then by nucleic acid amplification test (NAAT) considered as the gold standard in case of discrepancy between RDT and IFA results. For RSV detection, 205 NPAs was analyzed; the overall concordance between RDT and routine assays was of 97.6% (200/205). The sensitivity (Se), specificity (Sp), negative predictive value (NPV) and positive predictive value (PPV) were of 97.6% (160/164), 97.6% (40/41), 90.9% (40/44) and 99.4% (160/161), respectively. A total of 419 NPA was tested for influenzaviruses. For influenzavirus A, the overall concordance was of 98.8% (414/419); Se, Sp, NPV and PPV were of 100% (41/41), 98.7% (373/378), 100% (373/373) and 89.1% (41/46), respectively. For influenzavirus B, the overall concordance was of 97.9% (410/419); Se, Sp, NPV and PPV were of 96.6% (172/178), 98.8% (238/241), 97.5% (238/244) and 98.3% (172/175), respectively. Due to their excellent performances and their easy handle by non-laboratory personnel, these RDTs can be warmly recommended as point of care assays at the PED. (Cantais A.; Mory O.; Plat A.; Giraud A.) Pediatric Emergency Department, University Hospital of Saint-Etienne, France. , (Cantais A.; Pozzetto B.; Pillet S., sylvie.pillet@univ-st-etienne.fr) Laboratory Group on Mucosal Immunity and Pathogens (GIMAP EA3064), Faculty of Medicine of Saint-Etienne, University of Lyon, France. , (Pozzetto B.; Pillet S., sylvie.pillet@univ-st-etienne.fr) Laboratory of Infectious Agents and Hygiene, University Hospital of Saint-Etienne, Saint-Etienne, France."
150,"Burden of paediatric respiratory syncytial virus disease and potential effect of different immunisation strategies: a modelling and cost-effectiveness analysis for England Background Vaccines and prophylactic antibodies against respiratory syncytial virus (RSV) are in development and likely to be available in the next 510 years. The most efficient way to use these products when they become available is an important consideration for public health decision makers. Methods We performed a multivariate regression analysis to estimate the burden of RSV in children younger than 5 years in England (UK), a representative high-income temperate country, and used these results to assess the potential effect of different RSV immunisation strategies (targeting vaccination for infants, or pregnant women, or prophylactic antibodies for neonates). We did a cost-effectiveness analysis for these strategies, implemented either separately or concurrently, and assessed the effect of restricting vaccination to certain months of the year. Findings We estimated that RSV is responsible for 12 primary care consultations (95% CI 119121) and 09 admissions to hospital annually per 100 children younger than 5 years (95% CI 089090), with the major burden occurring in infants younger than 6 months. The most cost-effective strategy was to selectively immunise all children born before the start of the RSV season (maximum price of 220 [95% uncertainty interval (UI) 208232] per vaccine, for an incremental cost-effectiveness ratio of 20 000 per quality-adjusted life-year). The maximum price per fully protected person that should be paid for the infant, newborn, and maternal strategies without seasonal restrictions was 192 (95% UI 168219), 81 (7686), and 54 (5157), respectively. Interpretation Nearly double the number of primary care consultations, and nearly five times the number of admissions to hospital occurred with RSV compared with influenza. RSV vaccine and antibody strategies are likely to be cost-effective if they can be priced below around 200 per fully protected person. A seasonal vaccination strategy is likely to provide the most direct benefits. Herd effects might render a year-round infant vaccination strategy more appealing, although it is currently unclear whether such a programme would induce herd effects. Funding UK National Institute for Health Research. (Cromer D., d.cromer@unsw.edu.au) Kirby Institute for Infection and Immunity in Society, University of New South Wales, Sydney, NSW, Australia. , (van Hoek A.J.; Jit M.) Department of Infectious Disease Epidemiology, London School of Hygiene & Tropical Medicine, London, United Kingdom. , (Newall A.T.) School of Public Health and Community Medicine, University of New South Wales, Sydney, NSW, Australia. , (Pollard A.J.) Oxford Vaccine Group, Department of Paediatrics, University of Oxford, Oxford, United Kingdom. , (Pollard A.J.) National Institute of Health Research, Oxford Biomedical Research Centre, Children's Hospital, Oxford, United Kingdom. , (Jit M.) Modelling and Economics Unit, Public Health England, London, United Kingdom."
